Wearable-1,Ax,Ay,Az,Gx,Gy,Gz,Sensor time,,Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
,,,,,,,,,192.168.43.159,-0.047363281,0.980957031,-0.030761719,2.075195313,-1.037597656,-0.427246094,1.86E+08
192.168.43.70,-0.465820313,0.709960938,0.703125,-8.178710938,9.216308594,-4.577636719,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.035644531,0.985351563,-0.043945313,2.319335938,-1.647949219,-0.366210938,1.86E+08
192.168.43.70,-0.495605469,0.709960938,0.716796875,-3.845214844,0.305175781,-1.159667969,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.025390625,0.98828125,-0.033691406,1.953125,-0.915527344,-0.48828125,1.86E+08
192.168.43.70,-0.5078125,0.682128906,0.697265625,-5.126953125,-7.202148438,2.746582031,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.041015625,0.983398438,-0.036132813,1.708984375,-0.122070313,-0.48828125,1.86E+08
192.168.43.70,-0.474609375,0.687011719,0.666503906,-2.9296875,-10.86425781,1.281738281,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.053222656,0.985351563,-0.040527344,1.770019531,-0.244140625,-0.244140625,1.86E+08
192.168.43.70,-0.479003906,0.709472656,0.658691406,-2.319335938,-7.141113281,0.854492188,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.041015625,0.985351563,-0.041015625,1.525878906,-1.708984375,-0.244140625,1.86E+08
192.168.43.70,-0.489257813,0.703125,0.640625,-3.479003906,-4.638671875,1.037597656,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.038085938,0.984863281,-0.038085938,0.9765625,-1.708984375,-0.061035156,1.86E+08
192.168.43.70,-0.489257813,0.723144531,0.653808594,-2.624511719,-5.432128906,0,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.04296875,0.984863281,-0.043945313,0.671386719,-0.610351563,0.244140625,1.86E+08
192.168.43.70,-0.493652344,0.719726563,0.655273438,-3.723144531,-4.516601563,-0.915527344,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.043457031,0.985839844,-0.042480469,0.244140625,-0.610351563,0.427246094,1.86E+08
192.168.43.70,-0.466308594,0.7109375,0.648925781,-3.601074219,-3.90625,-1.525878906,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.037597656,0.984863281,-0.028320313,-0.061035156,-1.037597656,0.48828125,1.86E+08
192.168.43.70,-0.434082031,0.703125,0.686523438,-2.563476563,-0.671386719,-1.281738281,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.044921875,0.979980469,-0.034667969,0,-1.281738281,0.732421875,1.86E+08
192.168.43.70,-0.461914063,0.698242188,0.690429688,-1.708984375,3.540039063,-1.831054688,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.038574219,0.981933594,-0.040039063,0,-1.098632813,0.793457031,1.86E+08
192.168.43.70,-0.467773438,0.705566406,0.673828125,-0.48828125,1.708984375,-2.380371094,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.028320313,0.982421875,-0.033203125,-0.122070313,-0.549316406,0.610351563,1.86E+08
192.168.43.70,-0.484863281,0.709960938,0.665527344,-0.549316406,0.549316406,-2.9296875,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.028808594,0.985351563,-0.029296875,0,-0.427246094,0.48828125,1.86E+08
192.168.43.70,-0.479980469,0.708496094,0.666015625,-0.793457031,-1.342773438,-2.807617188,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.037597656,0.986328125,-0.037597656,0.061035156,-0.549316406,0.549316406,1.86E+08
192.168.43.70,-0.4453125,0.704101563,0.691894531,-1.159667969,-1.708984375,-1.953125,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.040039063,0.983398438,-0.041015625,-0.122070313,-0.549316406,0.549316406,1.86E+08
192.168.43.70,-0.466308594,0.708984375,0.678710938,-0.732421875,1.708984375,-1.647949219,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.032714844,0.984375,-0.032226563,-0.244140625,-0.793457031,0.610351563,1.86E+08
192.168.43.70,-0.5,0.711914063,0.653808594,-0.549316406,2.075195313,-1.647949219,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.028320313,0.982421875,-0.027832031,-0.122070313,-0.427246094,0.549316406,1.86E+08
192.168.43.70,-0.466308594,0.7109375,0.670898438,-0.549316406,-0.305175781,-1.220703125,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.034179688,0.985351563,-0.029785156,0.244140625,-0.305175781,0.427246094,1.86E+08
192.168.43.70,-0.476074219,0.710449219,0.672851563,-0.915527344,2.136230469,-0.610351563,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.042480469,0.983886719,-0.041015625,0.366210938,-0.48828125,0.427246094,1.86E+08
192.168.43.70,-0.504394531,0.7109375,0.663574219,-1.281738281,2.868652344,-0.122070313,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.041503906,0.985839844,-0.042480469,-0.061035156,0.122070313,0.48828125,1.86E+08
192.168.43.70,-0.497070313,0.711914063,0.666015625,-1.708984375,0.48828125,0,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.029785156,0.985839844,-0.033203125,-0.366210938,1.037597656,0.48828125,1.86E+08
192.168.43.70,-0.46875,0.702636719,0.678222656,-2.014160156,-0.366210938,0.427246094,2.04E+08,,,,,,,,,
192.168.43.70,-0.479980469,0.699707031,0.677734375,-2.563476563,0.610351563,0.427246094,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.027832031,0.985351563,-0.030761719,-0.427246094,0.671386719,0.549316406,1.86E+08
,,,,,,,,,192.168.43.159,-0.037597656,0.983398438,-0.0390625,-0.427246094,0.915527344,0.610351563,1.86E+08
192.168.43.70,-0.486816406,0.701660156,0.663574219,-2.44140625,0.061035156,-0.061035156,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.044921875,0.983398438,-0.035644531,-0.854492188,2.014160156,1.098632813,1.86E+08
192.168.43.70,-0.477539063,0.702148438,0.670410156,-2.502441406,-0.122070313,-0.305175781,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.035644531,0.984863281,-0.030273438,-0.854492188,2.502441406,1.342773438,1.86E+08
